lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,80255,31799,25981,22475,7,0.079,1.494,Soft,1,6.6,5.3,3.8,6.6,2.9,2.60,34.0,3,Clear,26,18,none,0,,0
2,74533,25749,26052,22732,5,0.649,0.440,Soft,2,13.8,9.7,6.5,13.8,5.8,2.60,21.0,3,Clear,26,18,none,0,,1
3,74673,25855,26255,22563,4,0.260,0.396,Soft,3,20.4,13.9,9.3,20.4,8.5,2.60,3.0,3,Clear,26,18,none,0,,1
4,75100,25874,26527,22699,3,0.064,0.433,Soft,4,26.8,17.9,12.0,26.8,11.3,2.60,1.0,3,Clear,26,18,none,0,,1
5,75741,26261,26378,23102,2,2.153,0.340,Soft,5,33.5,21.7,14.4,33.5,13.8,2.60,28.0,3,Clear,26,18,none,0,,0
6,74995,25803,26322,22870,2,1.831,1.859,Soft,6,40.3,25.8,17.0,40.3,16.4,2.60,3.0,3,Clear,26,18,none,0,,0
7,75664,26280,26603,22781,2,1.482,1.778,Soft,7,46.0,29.6,19.4,46.0,19.1,2.50,47.0,3,Clear,25,18,none,0,,0
8,75466,26101,26787,22578,2,0.943,1.983,Soft,8,52.1,33.5,22.0,52.1,21.6,2.50,35.0,3,Clear,25,18,none,0,,0
9,75216,26019,26493,22704,1,0.000,0.000,Soft,9,58.7,37.6,24.7,58.7,24.2,2.50,10.0,3,Clear,25,18,none,0,,1
10,76432,26648,26774,23010,1,0.000,2.462,Soft,10,64.8,41.4,27.0,64.8,26.4,2.50,27.0,3,Clear,25,18,none,0,,0
11,79371,26652,26911,25808,1,0.000,17.724,Soft,11,70.8,45.2,29.5,70.8,29.2,2.50,65.0,0,Clear,25,18,none,1,Medium,0
12,92107,43000,26367,22740,2,2.812,0.671,Medium,1,3.0,2.5,1.8,3.0,1.8,2.50,69.0,3,Clear,25,18,none,0,,0
13,73602,25571,25664,22367,2,1.656,2.129,Medium,2,8.8,5.9,3.8,8.8,4.0,2.50,63.0,3,Clear,25,18,none,0,,0
14,73171,25549,25572,22050,1,0.000,0.000,Medium,3,15.5,9.7,5.9,15.5,6.4,2.50,28.0,3,Clear,25,18,none,0,,1
15,74696,25563,25743,23390,1,0.000,1.182,Medium,4,21.0,12.9,8.0,21.0,8.7,2.50,51.0,3,Clear,25,18,none,0,,0
16,74852,26163,25960,22729,1,0.000,2.223,Medium,5,26.3,16.2,10.0,26.3,10.7,2.50,38.0,3,Clear,25,18,none,0,,0
17,76219,26511,26660,23048,1,0.000,2.227,Medium,6,30.9,18.9,11.8,30.9,12.9,2.50,78.0,3,Clear,25,18,none,0,,0
18,79026,29973,26077,22976,0,0.075,1.879,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0